CharacterName,ChineseName,CharacterID,StoryBook,CoreTraitsEN,CoreTraitsCN,CoreValuesEN,CoreValuesCN,BehaviorPatternEN,BehaviorPatternCN,LifeSummaryEN,LifeSummaryCN,KeyEventsEN,KeyEventsCN,RelationshipsEN,RelationshipsCN,MainChallengesEN,MainChallengesCN,ResponseToChallengesEN,ResponseToChallengesCN,LifeLessonsEN,LifeLessonsCN,ApplicationTagsEN,ApplicationTagsCN
Abraham,亞伯拉罕,ABR001,Genesis,Faithful;Obedient;Courageous,信心堅定;順服;勇敢,Faith and obedience in God;Trust in God's promises,對神的信心與順服;相信神的應許,Immediately obey God's commands;Build altars to worship,立即遵從神的命令;築壇敬拜神,"Abraham was called by God to leave his homeland and go to the place God would show him. He experienced covenant with God, the birth of Isaac, and offering Isaac, becoming the father of faith.",亞伯拉罕被神呼召離開本地本族，前往神所指示的地方。他經歷了與神立約、生子以撒、獻上以撒等重大事件，被稱為信心之父。,"Called to leave Haran;Covenant with God;Sojourn in Egypt;Parting with Lot;Rescue of Lot;Birth of Isaac;Offering of Isaac","離開哈蘭前往迦南地;與神立約得應許;埃及寄居;與羅得分離;營救羅得;與神立約生以撒;獻上以撒","Sarah (wife);Lot (nephew);Isaac (son);Ishmael (son)",妻子撒拉;侄兒羅得;兒子以撒;以實瑪利,"Fear of leaving familiar places;Frustration of childlessness;Test of offering only son",離開熟悉環境的恐懼;多年無子的挫折;獻獨生子的考驗,"Step out in faith on unknown journey;Continue believing in God's promises;Fully obey God's commands",憑信心踏上未知旅程;持續相信神的應許;完全順服神的命令,"Faith requires action;God's promises fulfilled in His timing;Complete obedience brings blessing",信心需要行動證明;神的應許雖遲但必成就;完全順服帶來神的祝福,"Faith model;Covenant witness;Obedience example","信心典範;立約見證;順服榜樣"
Moses,摩西,MOS002,Exodus,Humble;Brave;Faithful,謙和;勇敢;忠誠,Fear God;Intercede for people;Follow God's will,敬畏神;為百姓代求;遵行神的旨意,Face Pharaoh bravely;Pray for people;Receive God's law,勇敢面對法老;為百姓代禱;領受神的律法,"Moses was a prince of Egypt who became a shepherd, then was called by God to lead Israel out of Egypt. He faced Pharaoh, performed miracles, led people through Red Sea, received law at Sinai, but couldn't enter promised land due to one mistake.",摩西從埃及王子成為牧羊人，後被神呼召帶領以色列人出埃及。他面對法老、行神蹟、領百姓過紅海，在西奈山領受律法，卻因一次犯錯不得進入應許之地。,"Birth and rescue;Grew up in palace;Fled to Midian;Burning bush call;Confronted Pharaoh;Ten plagues;Red Sea crossing;Bitter waters;Manna and quail;Struck rock for water;Battle with Amalek;Received law at Sinai;Golden calf incident;Spied out Canaan;Wandered in wilderness","出生被救;埃及王宮成長;逃往米甸;焚燒荊棘的呼召;面對法老;十災;過紅海;瑪拉苦水;嗎哪與鵪鶉;擊打磐石出水;亞瑪力人爭戰;西奈山領律法;金牛犢事件;窺探迦南地;曠野漂流","Aaron (brother);Miriam (sister);Jethro (father-in-law);Pharaoh",哥哥亞倫;姐姐米利暗;岳父葉忒羅;法老,"Facing mighty Egypt;People's complaints and rebellion;Personal weaknesses",面對強大的埃及帝國;百姓的抱怨與叛逆;個人性的軟弱,"Rely on God's power;Intercede for people;Follow God's instructions",依靠神的大能;恆切為百姓代禱;遵行神的指示,"God chooses ordinary people for great missions;Leaders need humility and faithfulness;God's plan transcends human understanding","神揀選平凡人完成偉大使命;領袖需要謙卑與忠心;神的計劃超越人的理解","Leadership model;Redemption type;Law receiver","領袖典範;救贖預表;律法領受者"
David,大衛,DAV003,1-2 Samuel,God-hearted;Brave;Repentant,合神心意;勇敢;悔改,Worship God;Kingdom vision;Genuine repentance,敬拜神;國度異象;真心悔改,Face giants bravely;Worship God wholeheartedly;Repent sincerely,勇敢面對巨人;全心敬拜神;真誠悔改認罪,"David was a shepherd boy who became king of Israel, experiencing victory over Goliath, fleeing from Saul, ascending throne, and falling into sin, called a man after God's own heart.",大衛從牧羊少年成為以色列王，經歷戰勝歌利亞、被掃羅追殺、登基作王、犯罪跌倒等人生起伏，被稱為合神心意的人。,"Anointed as king;Defeated Goliath;Fled from Saul;Showed kindness to Jonathan;Became king;Brought ark to Jerusalem;Sin with Bathsheba;Absalom's rebellion;Census sin","膏立為王;戰勝歌利亞;逃避掃羅追殺;恩待約拿單;登基作王;約櫃運入耶路撒冷;犯罪與拔示巴;押沙龍叛亂;數點百姓罪","King Saul;Jonathan;Bathsheba;Prophet Nathan;Absalom (son)",掃羅王;約拿單;拔示巴;先知拿單;兒子押沙龍,"Fear of facing giant;Pressure of being hunted;Temptation of power;Consequences of sin",面對巨人的恐懼;被追殺的壓力;權力的試探;犯罪的後果,"Rely on God's power;Maintain faith and hope;Seek forgiveness with sincerity",依靠神的大能;保持信心與盼望;真誠悔改尋求赦免,"God looks at the heart not appearance;Sincere repentance brings forgiveness;God-pleasing life brings blessing","神看重人的內心而非外表;真誠悔改蒙神赦免;合神心意的人生蒙祝福","Faith warrior;Worshipper;Repentance example","信心戰士;敬拜者;悔改榜樣"
Peter,彼得,PET004,Gospels,Impulsive;Zealous;Regretful,衝動;熱心;後悔,Love and loyalty to Lord;Gospel mission,對主的愛與忠誠;傳福音的使命,Confess Lord boldly;Serve zealously;Repent bitterly after denying,勇敢認主;熱心事奉;三次不認主後痛哭悔改,"Peter was a fisherman called by Jesus to be disciple. He confessed Jesus as Christ but also denied Him three times. After resurrection, he was restored and became rock of church, preaching to Gentiles.",彼得是漁夫出身，被耶穌呼召成為門徒。他認耶穌為基督，卻也三次不認主。復活後被主恢復，成為教會的磐石，傳福音給外邦人。,"Called as disciple;Walked on water;Confessed Jesus as Christ;Transfiguration;Cut off ear;Denied Jesus three times;Post-resurrection appearance;Pentecost preaching;Healed lame man;Preached at Cornelius' house","蒙召作門徒;水面行走;認耶穌為基督;登山變像;為主削耳;三次不認主;主復活顯現;五旬節講道;醫治瘸腿;哥尼流家傳福音","Jesus Christ;Andrew (brother);John;James;Paul",耶穌基督;弟弟安得烈;約翰;雅各;保羅,"Fear of authority;Inadequacy of self;Challenge of preaching",面對權威的恐懼;自我能力的不足;傳福音的挑戰,"Respond to call in faith;Acknowledge failure and repent;Rely on Holy Spirit's power",憑信心回應呼召;承認失敗並悔改;依靠聖靈能力事奉,"Human weakness can't hinder God's plan;Failure is opportunity for growth;Spirit's power overcomes human weakness","人的軟弱不能阻礙神的計劃;失敗不是終點而是成長的機會;聖靈能力勝過人的軟弱","Disciple model;Resurrection witness;Church leader","門徒典範;復活見證人;教會領袖"
Paul,保羅,PAU005,Acts,Zealous;Persevering;Faithful,熱心;堅忍;忠心,Gospel mission;Apostle to Gentiles;Cross truth,傳福音的使命;外邦人的使徒;十架真理,Preach zealously;Endure suffering;Hold fast to truth,熱心傳道;忍受苦難;堅守真理,"Paul was Saul who persecuted the church, but met the risen Lord on Damascus road and his life was transformed. He became apostle to Gentiles, took three missionary journeys, wrote many letters, and finally died for the Lord.",保羅原是逼迫教會的掃羅，在大馬士革路上遇見復活的主後生命翻轉。他成為外邦人的使徒，三次旅行佈道，寫下多封書信，最終為主殉道。,"Call on Damascus road;Sent to Ananias;First missionary journey;Jerusalem council;Second missionary journey;Third missionary journey;Arrested in Jerusalem;Appealed to Rome;Wrote letters from Roman prison","大馬士革路上的呼召;亞拿尼亞奉差遣;第一次旅行佈道;耶路撒冷會議;第二次旅行佈道;第三次旅行佈道;耶路撒冷被捕;羅馬上訴;羅馬監獄寫書信","Barnabas;Silas;Timothy;Luke;Peter",巴拿巴;西拉;提摩太;路加;彼得,"Transition from persecutor to persecuted;Difficulty of preaching;Thorn in the flesh",從逼迫者到被逼迫的轉變;傳福音的艱難;肉體上的刺,"Fully surrender to Lord's call;Be strong in Lord through suffering;Focus on completing Lord's commission",完全降服於主的呼召;靠主剛強面對苦難;專注完成主的託付,"God's grace can change the hardest hearts;Suffering for Lord is glory not shame;Gospel power transcends human limits","神的恩典能改變最頑固的人;為主受苦是榮耀而非羞恥;福音的大能超越人的限制","Gentile apostle;Martyr;Theologian","外邦使徒;殉道者;神學家"
Mary,馬利亞,MAR006,Luke,Humble;Obedient;Faithful,謙卑;順服;信心,Believe God's promises;Magnify the Lord;Submit to God's will,相信神的應許;尊主為大;願主旨意成就,Humbly accept God's plan;Magnify the Lord;Ponder God's matters,謙卑接受神的計劃;尊主為大;細心思想神的事,"Mary was a virgin from Nazareth who received angel's announcement that she would conceive and bear Jesus. She obeyed God's plan, accompanied Jesus' growth, witnessed His ministry, and stayed with Him to the end at the cross.",馬利亞是拿撒勒的童女，蒙天使報信將懷孕生子耶穌。她順服神的計劃，陪伴耶穌成長，見證他的事奉，最後在十字架下陪伴到最後。,"Angel's announcement;Visited Elizabeth;Birth of Jesus;Presentation of baby Jesus;Fled to Egypt;Lost Jesus in Jerusalem;Cana wedding;At foot of cross;Prayed with disciples","天使報信;探望伊利莎白;耶穌降生;奉獻嬰孩耶穌;逃往埃及;在耶路撒冷失落耶穌;迦拿婚宴;十字架下陪伴;與門徒一同禱告","Joseph (husband);Jesus (son);Elizabeth (relative);Disciples",丈夫約瑟;兒子耶穌;親戚伊利莎白;門徒們,"Social pressure of unmarried pregnancy;Difficulty understanding God's plan;Pain of watching son suffer",未婚懷孕的社會壓力;理解神計劃的困難;見證兒子受難的痛苦,"Accept God's plan in faith;Follow God's leading;Stay faithfully to the end",憑信心接受神的計劃;順服神的帶領;堅定陪伴到底,"Humble submission is key to great blessing;Trusting God overcomes circumstances;Motherly love and faith can coexist","謙卑順服是蒙大福的關鍵;信靠神勝過環境的困難;母愛與信心可以並存","Faithful mother;Virgin birth;Cross companion","信心母親;童女懷孕;十字架陪伴者"
Joseph,約瑟,JOS007,Genesis,Faithful;Forgiving;Wise,忠心;饒恕;智慧,Fear God;Forgive others;Trust God's plan,敬畏神;饒恕他人;信靠神的計劃,Serve faithfully;Choose forgiveness;Believe in God's sovereignty,忠心服事;選擇饒恕;相信神的主權,"Joseph was Jacob's beloved son, sold into slavery by jealous brothers. He rose from slave to prime minister in Egypt, experienced false accusation and imprisonment, and ultimately saved his family from famine, fulfilling God's plan.",約瑟是雅各的愛子，被兄弟嫉妒出賣為奴。他在埃及從奴隸成為宰相，經歷誣陷、監禁，最終拯救全家脫離饑荒，實現了神的計劃。,"Sold by brothers;Slave in Potiphar's house;Falsely accused and imprisoned;Interpreted dreams for cupbearer;Interpreted dreams for Pharaoh;Became Egyptian prime minister;Brothers' confession;Family came to Egypt","被兄弟出賣;在波提乏家為奴;被誣陷入獄;為酒政解夢;為法老解夢;升任埃及宰相;兄弟認罪;全家下埃及","Jacob (father);Brothers;Potiphar;Cupbearer;Pharaoh",父親雅各;兄弟們;波提乏;酒政;法老,"Pain of being betrayed;Injustice of false accusation;Long period of waiting",被出賣的痛苦;誣陷的不公;長期的等待,"Maintain faithfulness and purity;Choose forgiveness and reconciliation;Trust in God's sovereign plan",保持忠心與純潔;選擇饒恕與和好;相信神的主權計劃,"God has beautiful plans even in suffering;Forgiveness brings healing and reconciliation;Faithful service brings God's exaltation","苦難中神仍有美好計劃;饒恕帶來醫治與和好;忠心服事蒙神高升","Faith in suffering;Forgiveness example;God's plan fulfilled","苦難中的信心;饒恕榜樣;神計劃的實現"
Daniel,但以理,DAN008,Book of Daniel,Faithful;Prayerful;Wise,忠心;禱告;智慧,Fear God over men;Hold fast to faith;Persevere in prayer,敬畏神過於人;堅持信仰;恆切禱告,Face challenges with God's wisdom;Hold fast to faith principles;Pray persistently,靠神智慧面對挑戰;勇敢持守信仰原則;恆切禱告尋求神,"Daniel was a Judean noble taken captive to Babylon. He maintained his faith in pagan court, received wisdom from God, experienced trials like lion's den, and became God's witness.",但以理是猶大貴族，被擄到巴比倫。他在異教宮廷中持守信仰，靠神得智慧，經歷獅子坑等試煉，成為神的見證人。,"Taken captive to Babylon;Refused royal food;Interpreted dreams for king;Promoted to high position;Friends thrown into fiery furnace;Interpreted handwriting on wall;Thrown into lion's den;Received visions","被擄到巴比倫;拒用王膳;為王解夢;被高升;同伴被投火窯;解寫字牆之異象;被投獅子坑;得見異象","Friends Hananiah;Mishael;Azariah;Babylonian kings",朋友哈拿尼雅;米沙利;亞撒利雅;巴比倫王,"Pressure of pagan environment;Threat of death;Need to maintain faith",異教環境的壓力;死亡的威脅;信仰的堅持,"Face challenges with God's wisdom;Bravely maintain faith principles;Pray persistently seeking God",靠神智慧面對挑戰;勇敢持守信仰原則;恆切禱告尋求神,"Fear God over fearing men;Persistent prayer brings spiritual strength;God protects faithful witnesses","敬畏神過於敬畏人;恆切禱告帶來屬靈力量;神保護忠心見證人","Faithfulness in captivity;Prayer warrior;Wise witness","被擄中的忠心;禱告勇士;智慧見證"
Zacchaeus,撒該,ZAC009,Gospel of Luke,Repentant;Generous;Seeking,悔改;慷慨;尋求,Desire to see Jesus;Willing to repent;Happy to make restitution,渴望見耶穌;願意悔改;樂意賠償,Actively seek Jesus;Repent sincerely;Prove change through actions,積極尋求耶穌;真誠悔改認罪;用行動證明改變,"Zacchaeus was a tax collector who climbed a tree to see Jesus because he was short. Jesus came to his house, he repented sincerely, promised to make restitution and give to the poor, his life was transformed.",撒該是稅吏長，因身材矮小而爬樹要看耶穌。耶穌主動到他家，他真心悔改，願意賠償並分給窮人，生命得到改變。,"Climbed sycamore tree to see Jesus;Jesus came to his house;Publicly repented;Decided to make restitution and give alms","爬桑樹看耶穌;耶穌到他家;當眾悔改;決定賠償並施捨","Jesus Christ;Crowds of people",耶穌基督;眾百姓,"Social rejection and contempt;Inner emptiness and sin;Determination to change life",社會的排斥鄙視;內心的空虛罪惡;改變生活的決心,"Actively seek Jesus;Publicly confess sin;Prove repentance through actions",積極尋求耶穌;公開承認罪惡;用行動證明悔改,"Jesus accepts sinners;Sincere repentance brings life change;Generous giving witnesses new life","耶穌接納罪人;真心悔改帶來生命改變;慷慨施捨見證新生","Repentance witness;Jesus accepts sinners;Life transformation","悔改見證;耶穌接納罪人;生命改變"
Tabitha Dorcas,多加,TAB010,Acts of Apostles,Good deeds;Merciful;Resurrected,善行;憐憫;復活,Love doing good;Care for the poor;Faith witness,樂善好施;關懷窮人;信心見證,Do good to help others;Become blessing to many;Witness resurrection power,行善幫助人;成為多人的祝福;見證復活大能,"Tabitha was a disciple in Joppa who did many good works and gave alms. She fell sick and died, Peter prayed and she was raised, becoming a witness to the gospel.",多加是約帕的女徒，廣行善事，施賙窮人。她患病去世，彼得禱告使她復活，成為福音的見證。,"Did many good works;Gave alms to poor;Fell sick and died;Peter prayed and she was raised;Became gospel witness","廣行善事;施賙窮人;患病去世;彼得禱告復活;成為福音見證","Apostle Peter;Poor widows;Joppa believers",使徒彼得;窮人寡婦們;約帕信徒,"End of life;Impact on community;Hope of resurrection",生命的終結;對社群的影響;復活的盼望,"Live out loving service;Become blessing to many;Witness God's power",活出愛心服事;成為多人的祝福;見證神的大能,"Good deeds remembered by God;God can raise from dead;Believer's life impacts community","善行蒙神記念;神能使人從死裡復活;信徒的生命影響社區","Good deeds witness;Resurrection miracle;Female disciple example","善行見證;復活神蹟;女徒榜樣"}
